Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,374.970001,375.559998,374.059998,375.549988,373.057007,3949400
2021-04-09,375.420013,378.399994,375.329987,378.250000,375.739075,2627500
2021-04-12,377.700012,378.649994,377.079987,378.420013,375.907959,2747500
2021-04-13,378.369995,380.119995,377.920013,379.450012,376.931122,2985500
2021-04-14,379.459991,380.510010,377.700012,378.230011,375.719238,3691100
2021-04-15,380.329987,382.540009,380.279999,382.290009,379.752289,3573800
2021-04-16,383.559998,384.149994,382.190002,383.630005,381.083374,3252500
2021-04-19,382.619995,383.089996,380.369995,381.739990,379.205902,3945700
2021-04-20,380.489990,381.160004,377.470001,378.940002,376.424469,4106700
2021-04-21,378.279999,382.670013,378.140015,382.500000,379.960846,3640100
2021-04-22,382.320007,383.119995,377.959991,378.989990,376.474152,3965000
2021-04-23,379.570007,384.459991,379.459991,383.029999,380.487335,3781100
2021-04-26,383.730011,384.450012,383.320007,383.859985,381.311798,3125200
2021-04-27,384.200012,384.380005,382.720001,383.739990,381.192627,3370600
2021-04-28,384.100006,385.170013,383.239990,383.559998,381.013824,3960400
2021-04-29,386.399994,386.739990,382.809998,386.119995,383.556824,4209900
2021-04-30,383.910004,384.760010,382.730011,383.570007,381.023773,5219200
2021-05-03,385.559998,385.940002,383.959991,384.440002,381.887970,4180800
2021-05-04,382.519989,382.959991,378.450012,382.100006,379.563538,5485600
2021-05-05,383.720001,383.910004,381.440002,382.170013,379.633087,4410700
2021-05-06,382.260010,385.369995,380.269989,385.279999,382.722382,4737300
2021-05-07,386.019989,388.679993,385.329987,388.029999,385.454163,3516600
2021-05-10,388.410004,388.660004,384.089996,384.230011,381.679382,5942700
2021-05-11,379.750000,381.739990,376.950012,380.859985,378.331726,7081500
2021-05-12,378.040009,379.269989,372.130005,372.730011,370.255737,7707400
2021-05-13,374.209991,379.049988,374.170013,377.160004,374.656311,7179100
2021-05-14,379.809998,383.790009,379.809998,382.950012,380.407898,5167900
2021-05-17,381.899994,382.750000,380.000000,382.029999,379.493988,3781600
2021-05-18,382.250000,382.470001,378.540009,378.730011,376.215912,3128300
2021-05-19,374.059998,377.839996,372.619995,377.730011,375.222534,5086300
2021-05-20,378.570007,382.989990,378.450012,381.760010,379.225769,4776700
2021-05-21,383.230011,384.450012,381.010010,381.470001,378.937683,3567500
2021-05-24,383.690002,386.399994,383.440002,385.320007,382.762146,2962500
2021-05-25,386.399994,386.760010,383.940002,384.510010,381.957520,4031800
2021-05-26,385.089996,385.750000,384.070007,385.209991,382.652863,2642700
2021-05-27,386.279999,386.779999,385.320007,385.380005,382.821747,3015900
2021-05-28,387.029999,387.269989,385.940002,386.130005,383.566772,3370100
2021-06-01,388.500000,388.619995,385.380005,385.829987,383.268738,4389000
2021-06-02,386.450012,387.239990,385.470001,386.480011,383.914459,3209200
2021-06-03,384.170013,386.109985,382.700012,385.010010,382.454193,3391000
2021-06-04,386.809998,388.799988,386.760010,388.500000,385.921021,2628100
2021-06-07,388.519989,388.690002,387.250000,388.170013,385.593231,2500600
2021-06-08,389.000000,389.079987,386.440002,388.230011,385.652832,2386600
2021-06-09,389.079987,389.130005,387.410004,387.619995,385.046875,2968100
2021-06-10,388.859985,390.359985,387.579987,389.410004,386.824982,2611800
2021-06-11,390.000000,390.200012,388.730011,390.089996,387.500458,2241500
2021-06-14,390.209991,391.070007,389.000000,391.070007,388.473969,2252200
2021-06-15,391.149994,391.200012,389.410004,390.250000,387.659424,2405000
2021-06-16,390.420013,390.579987,386.019989,388.109985,385.533600,4194300
2021-06-17,387.619995,388.910004,385.500000,387.970001,385.394531,4065300
2021-06-18,384.790009,385.380005,382.519989,382.820007,380.278748,5211100
2021-06-21,384.500000,388.380005,383.649994,388.179993,385.603149,4389800
2021-06-22,388.239990,391.089996,387.470001,390.239990,387.649475,2705400
2021-06-23,390.350006,391.140015,389.700012,389.820007,387.232269,2404200
2021-06-24,391.890015,392.519989,391.670013,392.049988,389.447449,2987800
2021-06-25,392.899994,393.920013,392.540009,393.500000,390.887848,2862800
2021-06-28,394.029999,394.450012,392.829987,394.320007,391.702393,2418500
2021-06-29,393.350006,393.940002,392.660004,393.160004,391.874817,2927600
